Package,LibPath,Version,Priority,Built
abind,C:/Users/kknight1/Documents/R/win-library/3.5,1.4-5,NA,3.5.0
animation,C:/Users/kknight1/Documents/R/win-library/3.5,2.5,NA,3.5.1
assertthat,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.0,NA,3.5.1
Athena,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.0,NA,3.5.1
AWR.Athena,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.2-1,NA,3.5.1
aws.athena,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.0,NA,3.5.1
aws.ec2metadata,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.5,NA,3.5.1
aws.s3,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.12,NA,3.5.1
aws.ses,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.4,NA,3.5.1
aws.signature,C:/Users/kknight1/Documents/R/win-library/3.5,0.4.4,NA,3.5.1
backports,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.2,NA,3.5.0
base64enc,C:/Users/kknight1/Documents/R/win-library/3.5,0.1-3,NA,3.5.0
BH,C:/Users/kknight1/Documents/R/win-library/3.5,1.66.0-1,NA,3.5.0
bigrquery,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
bindr,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.1,NA,3.5.1
bindrcpp,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.2,NA,3.5.1
bit,C:/Users/kknight1/Documents/R/win-library/3.5,1.1-14,NA,3.5.0
bit64,C:/Users/kknight1/Documents/R/win-library/3.5,0.9-7,NA,3.5.0
bitops,C:/Users/kknight1/Documents/R/win-library/3.5,1.0-6,NA,3.5.0
blob,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.1,NA,3.5.1
brew,C:/Users/kknight1/Documents/R/win-library/3.5,1.0-6,NA,3.5.0
broom,C:/Users/kknight1/Documents/R/win-library/3.5,0.5.0,NA,3.5.1
callr,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.4,NA,3.5.1
caTools,C:/Users/kknight1/Documents/R/win-library/3.5,1.17.1.1,NA,3.5.1
cellranger,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.0,NA,3.5.1
chron,C:/Users/kknight1/Documents/R/win-library/3.5,2.3-52,NA,3.5.1
classInt,C:/Users/kknight1/Documents/R/win-library/3.5,0.2-3,NA,3.5.1
cli,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
clipr,C:/Users/kknight1/Documents/R/win-library/3.5,0.4.1,NA,3.5.1
clisymbols,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
colorspace,C:/Users/kknight1/Documents/R/win-library/3.5,1.3-2,NA,3.5.1
config,C:/Users/kknight1/Documents/R/win-library/3.5,0.3,NA,3.5.1
cowplot,C:/Users/kknight1/Documents/R/win-library/3.5,0.9.3,NA,3.5.1
crayon,C:/Users/kknight1/Documents/R/win-library/3.5,1.3.4,NA,3.5.1
crosstalk,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
curl,C:/Users/kknight1/Documents/R/win-library/3.5,3.2,NA,3.5.1
data.table,C:/Users/kknight1/Documents/R/win-library/3.5,1.11.4,NA,3.5.1
DBI,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
dbplyr,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.2,NA,3.5.1
desc,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
devtools,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.1,NA,3.5.1
dichromat,C:/Users/kknight1/Documents/R/win-library/3.5,2.0-0,NA,3.5.0
digest,C:/Users/kknight1/Documents/R/win-library/3.5,0.6.18,NA,3.5.1
dplyr,C:/Users/kknight1/Documents/R/win-library/3.5,0.7.8,NA,3.5.1
DT,C:/Users/kknight1/Documents/R/win-library/3.5,0.5,NA,3.5.1
dxd,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.1,NA,3.5.1
e1071,C:/Users/kknight1/Documents/R/win-library/3.5,1.7-0,NA,3.5.1
esquisse,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.6,NA,3.5.1
evaluate,C:/Users/kknight1/Documents/R/win-library/3.5,0.11,NA,3.5.1
fansi,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.3,NA,3.5.1
forcats,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.0,NA,3.5.1
